media_id,product_id,media_type,file_name,file_path,source_post_url,notes
M_SA001_01,KP001,reel,SA001_main.jpg,/data/shubham_art/media/SA001_main.jpg,https://www.instagram.com/shubham__art/reel/DThxQPjk5q_/,Visual variant showing 'Steel Keychain' under base product 'Custom Engraved Metal Name Keychain'.
M_SA015_01,KP001,image,SA015_main.jpg,/data/shubham_art/media/SA015_main.jpg,https://www.instagram.com/shubham__art/p/CnMHTTuP8P-/,Visual variant showing 'Design VS Product' under base product 'Custom Engraved Metal Name Keychain'.
M_SA021_01,KP001,reel,SA021_main.jpg,/data/shubham_art/media/SA021_main.jpg,https://www.instagram.com/shubham__art/reel/DJvpQ06tDtK/,Visual variant showing 'Always trending this keychain' under base product 'Custom Engraved Metal Name Keychain'.
M_SA023_01,KP001,reel,SA023_main.jpg,/data/shubham_art/media/SA023_main.jpg,https://www.instagram.com/shubham__art/reel/DKMUM4qNwQr/,Visual variant showing 'Glossy steel keychain' under base product 'Custom Engraved Metal Name Keychain'.
M_SA033_01,KP001,reel,SA033_main.jpg,/data/shubham_art/media/SA033_main.jpg,https://www.instagram.com/shubham__art/reel/DO3j_hgDMjC/,Visual variant showing 'Couple Goals keychain' under base product 'Custom Engraved Metal Name Keychain'.
M_SA062_01,KP001,reel,SA062_main.jpg,/data/shubham_art/media/SA062_main.jpg,https://www.instagram.com/shubham__art/reel/DVv3h_kExR8/,Visual variant showing 'Personalized metal engraved keychain' under base product 'Custom Engraved Metal Name Keychain'.
M_SA009_01,KP002,reel,SA009_main.jpg,/data/shubham_art/media/SA009_main.jpg,https://www.instagram.com/shubham__art/reel/DHXwFV2PSV1/,Visual variant showing 'Bike and car Number keychain' under base product 'Custom Vehicle Number Plate Keychain'.
M_SA043_01,KP002,reel,SA043_main.jpg,/data/shubham_art/media/SA043_main.jpg,https://www.instagram.com/shubham__art/reel/DRWL81TExBu/,Visual variant showing 'Your dream bike keychain' under base product 'Custom Vehicle Number Plate Keychain'.
M_SA053_01,KP003,reel,SA053_main.jpg,/data/shubham_art/media/SA053_main.jpg,https://www.instagram.com/shubham__art/reel/DUOa8yqk8U6/,Visual variant showing 'Acrylic Promotional Keychain' under base product 'Custom Acrylic Keychain'.
M_SA018_01,KP004,reel,SA018_main.jpg,/data/shubham_art/media/SA018_main.jpg,https://www.instagram.com/shubham__art/reel/CqP3MfFrC_u/,Visual variant showing 'श्री स्वामी समर्थ' under base product 'Custom Acrylic LED Backlit Nameplate'.
